Review_ID,Review_Text,cleaned,tokens,tokens_nostop,stems,lemmas,final_text
11,"""The product is just okay, nothing special, but it gets the job done.""",the product is just okay nothing special but it gets the job done,"['the', 'product', 'is', 'just', 'okay', 'nothing', 'special', 'but', 'it', 'gets', 'the', 'job', 'done']","['product', 'okay', 'nothing', 'special', 'gets', 'job', 'done']","['product', 'okay', 'noth', 'special', 'get', 'job', 'done']","['product', 'okay', 'nothing', 'special', 'get', 'job', 'do']",product okay nothing special get job do
12,"""Fast delivery and product as described. Would buy again!""",fast delivery and product as described would buy again,"['fast', 'delivery', 'and', 'product', 'as', 'described', 'would', 'buy', 'again']","['fast', 'delivery', 'product', 'described', 'would', 'buy']","['fast', 'deliveri', 'product', 'describ', 'would', 'buy']","['fast', 'delivery', 'product', 'described', 'would', 'buy']",fast delivery product described would buy
13,"""Not worth the money. The product feels cheap and flimsy.""",not worth the money the product feels cheap and flimsy,"['not', 'worth', 'the', 'money', 'the', 'product', 'feels', 'cheap', 'and', 'flimsy']","['worth', 'money', 'product', 'feels', 'cheap', 'flimsy']","['worth', 'money', 'product', 'feel', 'cheap', 'flimsi']","['worth', 'money', 'product', 'feel', 'cheap', 'flimsy']",worth money product feel cheap flimsy
14,"""The product exceeded my expectations. Fantastic performance!""",the product exceeded my expectations fantastic performance,"['the', 'product', 'exceeded', 'my', 'expectations', 'fantastic', 'performance']","['product', 'exceeded', 'expectations', 'fantastic', 'performance']","['product', 'exceed', 'expect', 'fantast', 'perform']","['product', 'exceed', 'expectation', 'fantastic', 'performance']",product exceed expectation fantastic performance
15,"""Terrible customer service, but the product itself is decent.""",terrible customer service but the product itself is decent,"['terrible', 'customer', 'service', 'but', 'the', 'product', 'itself', 'is', 'decent']","['terrible', 'customer', 'service', 'product', 'decent']","['terribl', 'custom', 'servic', 'product', 'decent']","['terrible', 'customer', 'service', 'product', 'decent']",terrible customer service product decent
16,"""Very happy with the product. Would definitely recommend it to others.""",very happy with the product would definitely recommend it to others,"['very', 'happy', 'with', 'the', 'product', 'would', 'definitely', 'recommend', 'it', 'to', 'others']","['happy', 'product', 'would', 'definitely', 'recommend', 'others']","['happi', 'product', 'would', 'definit', 'recommend', 'other']","['happy', 'product', 'would', 'definitely', 'recommend', 'others']",happy product would definitely recommend others
17,"""Good product, but Ive had better ones for the same price.""",good product but i ve had better ones for the same price,"['good', 'product', 'but', 'i', 've', 'had', 'better', 'ones', 'for', 'the', 'same', 'price']","['good', 'product', 'better', 'ones', 'price']","['good', 'product', 'better', 'one', 'price']","['good', 'product', 'well', 'one', 'price']",good product well one price
18,"""I received a defective item, had to return it. Very disappointing.""",i received a defective item had to return it very disappointing,"['i', 'received', 'a', 'defective', 'item', 'had', 'to', 'return', 'it', 'very', 'disappointing']","['received', 'defective', 'item', 'return', 'disappointing']","['receiv', 'defect', 'item', 'return', 'disappoint']","['receive', 'defective', 'item', 'return', 'disappoint']",receive defective item return disappoint
19,"""The product is excellent, but shipping took longer than expected.""",the product is excellent but shipping took longer than expected,"['the', 'product', 'is', 'excellent', 'but', 'shipping', 'took', 'longer', 'than', 'expected']","['product', 'excellent', 'shipping', 'took', 'longer', 'expected']","['product', 'excel', 'ship', 'took', 'longer', 'expect']","['product', 'excellent', 'shipping', 'take', 'longer', 'expect']",product excellent shipping take longer expect
20,"""Love the product! Works as advertised and worth every penny.""",love the product works as advertised and worth every penny,"['love', 'the', 'product', 'works', 'as', 'advertised', 'and', 'worth', 'every', 'penny']","['love', 'product', 'works', 'advertised', 'worth', 'every', 'penny']","['love', 'product', 'work', 'advertis', 'worth', 'everi', 'penni']","['love', 'product', 'work', 'advertise', 'worth', 'every', 'penny']",love product work advertise worth every penny
